kepid,kepoi_name,kepler_name,koi_disposition,koi_prad,koi_period,koi_teq,koi_srad,koi_steff,koi_tce_plnt_num
8321314,"K02293.01","Kepler-1683 b","CONFIRMED",1.7,15.03366411,669.0,0.8910,5523.00,1
6934986,"K02294.01",,"CANDIDATE",3.03,131.485184,400.0,1.2420,5765.00,1
4049901,"K02295.01",,"CANDIDATE",0.52,16.2908527,622.0,0.7970,5425.00,1
11498128,"K02296.01","Kepler-1177 b","CONFIRMED",2.01,106.247882,377.0,0.9720,5679.00,1
8041216,"K00237.01","Kepler-500 b","CONFIRMED",2.6,8.508333104,909.0,1.0300,5767.00,1
11824786,"K02371.01","Kepler-1212 b","CONFIRMED",1.7,12.94123564,795.0,0.9380,6119.00,1
12254909,"K02372.01","Kepler-1213 b","CONFIRMED",1.29,5.349791,1156.0,1.1830,6074.00,1
10798331,"K02373.01",,"CANDIDATE",2.28,147.281212,353.0,1.0540,5708.00,1
9364290,"K02374.01","Kepler-382 b","CONFIRMED",1.95,5.26211833,1166.0,1.3090,5587.00,1
9364290,"K02374.02","Kepler-382 c","CONFIRMED",3.14,12.1628195,882.0,1.3090,5587.00,2
5022828,"K02138.01","Kepler-1115 b","CONFIRMED",2.33,23.5541012,1381.0,2.2860,9565.00,1
8233702,"K02140.01","Kepler-1116 b","CONFIRMED",2.26,41.6977582,488.0,0.8700,5730.00,1
11403339,"K02143.01","Kepler-1117 b","CONFIRMED",1.01,4.79029482,938.0,0.8430,5412.00,1
8260902,"K02144.01","Kepler-1118 b","CONFIRMED",2.45,38.6715843,502.0,0.9130,5432.00,1
8381204,"K02145.01","Kepler-1119 b","CONFIRMED",1.8,8.32651854,938.0,1.0000,6057.00,1
12058204,"K02218.01","Kepler-373 b","CONFIRMED",1.75,5.53533152,1054.0,1.1000,5588.00,1
12058204,"K02218.02","Kepler-373 c","CONFIRMED",1.56,16.7261969,729.0,1.1000,5588.00,2
4833421,"K00232.03","Kepler-122 d","CONFIRMED",2.18,21.58752788,747.0,1.1910,6038.00,4
5357545,"K02219.01","Kepler-1809 b","CONFIRMED",1.23,3.757294695,877.0,0.7160,4901.00,1
6871071,"K02220.01","Kepler-374 c","CONFIRMED",1.79,3.2828024,1467.0,1.5150,5640.00,3
5342473,"K02297.01","Kepler-1818 b","CONFIRMED",1.38,4.64495172,1209.0,1.1290,6047.00,1
9334893,"K02298.01",,"CANDIDATE",0.7,16.6671415,469.0,0.5250,4729.00,1
9963265,"K02299.01","Kepler-1819 b","CONFIRMED",27.45,16.48686712,760.0,1.0710,6090.00,1
10583761,"K02300.01","Kepler-1179 b","CONFIRMED",1.46,2.685054445,1137.0,0.8290,5266.00,1
7542813,"K02302.01","Kepler-1180 b","CONFIRMED",1.71,16.8600805,765.0,0.9730,6205.00,1
12058147,"K02072.01","Kepler-1082 b","CONFIRMED",1.23,1.54320541,1827.0,1.2820,5866.00,1
8164257,"K02073.01","Kepler-357 d","CONFIRMED",2.49,49.5004725,402.0,0.8280,4954.00,2
8164257,"K02073.02","Kepler-357 b","CONFIRMED",1.92,6.47539108,793.0,0.8280,4954.00,1
8164257,"K02073.03","Kepler-357 c","CONFIRMED",2.51,16.85825609,576.0,0.8280,4954.00,3
10593759,"K00025.01",,"FALSE POSITIVE",48.73,3.132604547,1444.0,1.1810,6248.00,1
6774537,"K02146.01","Kepler-1120 b","CONFIRMED",1.48,2.949029106,1027.0,0.8070,4983.00,1
10404582,"K02147.01","Kepler-362 c","CONFIRMED",2.01,37.8658964,543.0,1.0170,5757.00,1
5959753,"K00226.01","Kepler-496 b","CONFIRMED",2.42,8.30865307,747.0,0.8490,5022.00,1
6021193,"K02148.01","Kepler-363 d","CONFIRMED",1.83,11.93205399,905.0,1.3910,5711.00,1
6021193,"K02148.02","Kepler-363 c","CONFIRMED",1.59,7.54235832,1054.0,1.3910,5711.00,2
6871071,"K02220.02","Kepler-374 d","CONFIRMED",2.03,5.02818253,1272.0,1.5150,5640.00,2
6871071,"K02220.03","Kepler-374 b","CONFIRMED",1.73,1.897828815,1761.0,1.5150,5640.00,1
6287313,"K02221.01","Kepler-1147 b","CONFIRMED",1.87,10.62788695,872.0,1.0140,6082.00,1
9289704,"K02222.01",,"CANDIDATE",13.98,34.135676,1526.0,5.5550,7818.00,1
9278725,"K02223.01","Kepler-1148 b","CONFIRMED",1.6,1.104462494,1397.0,0.7530,5002.00,1
4458082,"K02303.01","Kepler-1181 b","CONFIRMED",1.6,4.89336495,1374.0,1.3470,6688.00,1
8042453,"K02304.01","Kepler-1182 b","CONFIRMED",1.64,11.17392077,796.0,0.9140,5911.00,1
10874215,"K02305.01","Kepler-1820 b","CONFIRMED",2.64,31.0325991,561.0,0.9310,5841.00,1
6666233,"K02306.01",,"FALSE POSITIVE",1.03,0.512407185,1255.0,0.5630,3862.00,1
7661065,"K02307.01",,"FALSE POSITIVE",3.03,4.150297119,981.0,0.8580,5290.00,1
3937519,"K00221.02","Kepler-495 c","CONFIRMED",1.28,5.89661966,1000.0,1.0870,5392.00,2
8866137,"K02074.01","Kepler-1083 b","CONFIRMED",3.13,33.4178173,448.0,0.7440,5136.00,1
10857519,"K02075.01","Kepler-1084 b","CONFIRMED",1.44,2.053341891,1737.0,1.3580,6084.00,1
9517393,"K02076.01","Kepler-1085 c","CONFIRMED",3.21,56.7769831,491.0,1.0120,6063.00,2
9351316,"K02078.01","Kepler-1086 b","CONFIRMED",2.14,18.78429232,433.0,0.6410,4243.00,1
6021193,"K02148.03","Kepler-363 b","CONFIRMED",1.14,3.61460279,1347.0,1.3910,5711.00,3
10617017,"K02149.01","Kepler-1121 b","CONFIRMED",1.87,13.15140223,1008.0,1.6360,6154.00,1
3229150,"K02150.01","Kepler-1979 b","CONFIRMED",29.33,18.5084526,683.0,0.9380,5942.00,1
7989422,"K02151.01",,"FALSE POSITIVE",2.05,7.47763833,1346.0,1.9530,5957.00,1
9641481,"K02152.01","Kepler-1122 b","CONFIRMED",2.35,42.1918331,526.0,1.0800,5520.00,1
8892157,"K02224.01","Kepler-1149 b","CONFIRMED",1.48,3.73090026,1128.0,0.9500,5709.00,1
8892157,"K02224.02",,"CANDIDATE",1.47,86.130534,391.0,0.8760,5830.00,
11569782,"K02225.01","Kepler-1150 b","CONFIRMED",2.33,2.787874175,1432.0,1.7270,4827.00,1
4833421,"K00232.04","Kepler-122 e","CONFIRMED",2.39,37.9962369,618.0,1.1910,6038.00,3
11520459,"K02226.01",,"CANDIDATE",2.51,8.46354384,805.0,0.8870,5427.00,1
7219825,"K00238.01","Kepler-123 b","CONFIRMED",2.79,17.23232894,817.0,1.2160,6086.00,1
3749978,"K02308.01","Kepler-1183 b","CONFIRMED",2.55,28.5057217,555.0,0.8700,5712.00,1
10010440,"K02309.01","Kepler-1184 b","CONFIRMED",2.49,53.5991459,529.0,1.0320,6319.00,1
11718144,"K02310.01","Kepler-1821 b","CONFIRMED",1.82,16.4581861,644.0,0.8840,5475.00,1
4247991,"K02311.01",,"CANDIDATE",,191.86419296,,,,
4247991,"K02311.02",,"CANDIDATE",,13.72549689,,,,
10026544,"K02312.01",,"CANDIDATE",2.38,176.331289,505.0,2.2510,6146.00,
9473078,"K02079.01","Kepler-1087 b","CONFIRMED",0.83,0.693842661,2161.0,1.1960,5457.00,1
10864531,"K02080.01","Kepler-358 c","CONFIRMED",2.95,83.4887405,411.0,0.9400,5910.00,1
10864531,"K02080.02","Kepler-358 b","CONFIRMED",2.96,34.0607677,554.0,0.9400,5910.00,2
2853780,"K02081.01",,"CANDIDATE",4.27,6.2141496,1506.0,3.1520,5295.00,1
9472000,"K02082.01","Kepler-1790 b","CONFIRMED",2.59,31.5888979,682.0,1.3670,5866.00,1
10253547,"K02153.01","Kepler-364 c","CONFIRMED",2.81,59.9809868,568.0,1.3830,6103.00,1
10253547,"K02153.02","Kepler-364 b","CONFIRMED",1.73,25.7457957,753.0,1.3830,6103.00,2
12505076,"K02154.01","Kepler-1799 b","CONFIRMED",2.43,11.92979348,770.0,0.9210,5831.00,1
6185476,"K00227.01",,"CANDIDATE",2.45,17.65737838,350.0,0.4700,3745.00,1
12116380,"K02155.01","Kepler-1123 b","CONFIRMED",2.11,4.3394569,1061.0,1.0130,5330.00,1
